,wind_speedMS,humidity,wind_speedBF,latitude,wind_direction_degrees,longitude,wind_direction,temperature,temperature_10cm,visibility_meters,sun_intensity,wind_blast,water_level,datetime,tide,water_level_belgium_border,water_flow,waves_height,water_drainage
107,,,,611288.682208,,5848257.101654,,,,,,,,2017-12-30T22:50:00Z,-35.0,,,,
165,,,,575378.646957,,5758394.423652,,,,,,,,2016-12-31T22:50:00Z,-49.0,,,,
5,,,,576917.669784,,5759136.158185,,,,,,,,2017-12-30T22:50:00Z,102.0,,,,
324,,,,569191.051211,,5760650.710343,,,,,,,,2017-12-30T22:50:00Z,112.0,,,,
286,,,,617198.393684,,5869730.610307,,,,,,,,2017-12-30T22:50:00Z,-64.0,,,,
489,,,,615152.335513,,5742285.492523,,,,,,,,2017-12-30T22:50:00Z,28.0,,,,
180,,,,612111.938559,,5729441.331482,,,,,,,,2017-12-30T22:50:00Z,37.0,,,,
146,,,,612093.75531,,5750138.055795,,,,,,,,2017-12-30T22:50:00Z,14.0,,,,
486,,,,600028.51491,,5743160.034387,,,,,,,,2017-12-30T22:50:00Z,37.0,,,,
500,,,,600742.077773,,5751656.154085,,,,,,,,2017-12-30T22:50:00Z,42.0,,,,
422,,,,597556.364264,,5749665.998716,,,,,,,,2017-12-30T22:50:00Z,51.0,,,,
516,,,,592817.818949,,5750735.849804,,,,,,,,2017-12-30T22:50:00Z,55.0,,,,
120,,,,583307.836329,,5750805.791667,,,,,,,,2017-12-30T22:50:00Z,72.0,,,,
514,,,,584558.377915,,5750159.656248,,,,,,,,2017-12-30T22:50:00Z,110.0,,,,
91,,,,584630.895499,,5749656.899389,,,,,,,,2017-12-30T22:50:00Z,62.0,,,,
329,,,,590045.173566,,5746981.787838,,,,,,,,2017-12-30T22:50:00Z,54.0,,,,
299,,,,590411.762438,,5749466.529984,,,,,,,,2017-12-30T22:50:00Z,62.0,,,,
48,,,,591856.728848,,5746493.068868,,,,,,,,2017-12-30T22:50:00Z,53.0,,,,
373,,,,575133.511365,,5757544.162486,,,,,,,,2017-12-30T22:50:00Z,110.0,,,,
175,,,,576116.584943,,5754686.736543,,,,,,,,2017-12-30T22:50:00Z,92.0,,,,
525,,,,577010.806015,,5756544.563397,,,,,,,,2016-12-31T22:50:00Z,-41.0,,,,
164,,,,578243.146539,,5757457.264019,,,,,,,,2016-12-31T22:50:00Z,-49.0,,,,
81,,,,577763.755565,,5741589.541094,,,,,,,,2017-12-30T22:50:00Z,41.0,,,,
518,,,,571218.73553,,5742305.056616,,,,,,,,2017-12-30T22:50:00Z,127.0,,,,
87,,,,556017.142832,,5733628.795131,,,,,,,,2017-12-30T22:50:00Z,161.0,,,,
8,,,,559271.530521,,5746165.909621,,,,,,,,2017-12-30T22:50:00Z,134.0,,,,
463,,,,568360.903761,,5757300.674544,,,,,,,,2017-12-30T22:50:00Z,103.0,,,,
195,,,,570710.421515,,5757331.84737,,,,,,,,2017-12-30T22:50:00Z,112.0,,,,
355,,,,571676.866443,,5753731.738685,,,,,,,,2017-12-30T22:50:00Z,110.0,,,,
468,,,,780777.164604,,5906295.053836,,,,,,,,2017-12-30T22:50:00Z,91.0,,,,
271,,,,761899.77096,,5915790.484914,,,,,,,,2017-12-30T22:50:00Z,51.0,,,,
41,,,,754198.324755,,5929013.390364,,,,,,,,2017-12-30T22:50:00Z,-6.0,,,,
267,,,,712485.362632,,5922496.917522,,,,,,,,2017-12-30T22:50:00Z,-41.0,,,,
365,,,,712579.947805,,5929214.552636,,,,,,,,2017-12-30T22:50:00Z,-34.0,,,,
547,,,,696130.281367,,5933727.000711,,,,,,,,2017-12-30T22:50:00Z,-71.0,,,,
57,,,,724996.318368,,5941470.299505,,,,,,,,2017-12-30T22:50:00Z,-57.0,,,,
319,,,,691227.593928,,5920843.142942,,,,,,,,2017-12-30T22:50:00Z,-9.0,,,,
366,,,,683322.924393,,5923626.819101,,,,,,,,2017-12-30T22:50:00Z,-43.0,,,,
189,,,,654952.901605,,5924030.014812,,,,,,,,2017-12-30T22:50:00Z,-93.0,,,,
493,,,,656546.856355,,5882594.511278,,,,,,,,2017-12-30T22:50:00Z,-55.0,,,,
179,,,,661021.585505,,5894519.40967,,,,,,,,2017-12-30T22:50:00Z,-34.0,,,,
21,,,,639387.325892,,5907253.099208,,,,,,,,2017-12-30T22:50:00Z,-86.0,,,,
137,,,,647723.414002,,5914954.525559,,,,,,,,2017-12-30T22:50:00Z,-73.0,,,,
331,,,,624049.675784,,5878191.298585,,,,,,,,2017-12-30T22:50:00Z,-70.0,,,,
22,,,,615985.879866,,5887091.157022,,,,,,,,2017-12-30T22:50:00Z,-82.0,,,,
521,,,,598252.111076,,5728077.182045,,,,,,,,2017-12-30T22:50:00Z,37.0,,,,
478,,,,584172.789971,,5694908.142415,,,,,,,,2017-12-30T22:50:00Z,178.0,,,,
315,,,,574616.706917,,5706661.48206,,,,,,,,2017-12-30T22:50:00Z,97.0,,,,
554,,,,580896.100116,,5707333.915803,,,,,,,,2017-12-30T22:50:00Z,93.0,,,,
111,,,,576843.574168,,5717533.692518,,,,,,,,2017-12-30T22:50:00Z,105.0,,,,
342,,,,576756.115681,,5691113.199154,,,,,,,,2017-12-30T22:50:00Z,199.0,,,,
261,,,,581080.03756,,5692490.642354,,,,,,,,2017-12-30T22:50:00Z,188.0,,,,
172,,,,571389.152745,,5694632.620081,,,,,,,,2017-12-30T22:50:00Z,208.0,,,,
138,,,,569978.247612,,5699855.507496,,,,,,,,2017-12-30T22:50:00Z,217.0,,,,
541,,,,582772.384387,,5703850.439403,,,,,,,,2017-12-30T22:50:00Z,87.0,,,,
490,,,,579147.964913,,5723770.569475,,,,,,,,2017-12-30T22:50:00Z,110.0,,,,
100,,,,557108.70583,,5687533.035786,,,,,,,,2017-12-30T22:50:00Z,240.0,,,,
357,,,,551148.439315,,5695779.408925,,,,,,,,2017-12-30T22:50:00Z,239.0,,,,
255,,,,567116.935443,,5695350.191198,,,,,,,,2017-12-30T22:50:00Z,224.0,,,,
132,,,,548021.69941,,5722952.980035,,,,,,,,2017-12-30T22:50:00Z,170.0,,,,
445,,,,560012.757943,,5710671.594057,,,,,,,,2017-12-30T22:50:00Z,109.0,,,,
305,,,,569683.231566,,5716519.148377,,,,,,,,2017-12-30T22:50:00Z,110.0,,,,
17,,,,539273.416454,,5694360.994122,,,,,,,,2017-12-30T22:50:00Z,225.0,,,,
9,,,,541425.983215,,5699181.909684,,,,,,,,2017-12-30T22:50:00Z,226.0,,,,
459,,,,530529.343665,,5707906.220428,,,,,,,,2017-12-30T22:50:00Z,17.0,,,,
82,,,,547517.428302,,5718898.855169,,,,,,,,2017-12-30T22:50:00Z,117.0,,,,
28,,,,547219.705797,,5718950.111382,,,,,,,,2017-12-30T22:50:00Z,174.0,,,,
283,,,,533286.714217,,5721427.958965,,,,,,,,2017-12-30T22:50:00Z,174.0,,,,
37,,,,546689.223867,,5730284.432156,,,,,,,,2017-12-30T22:50:00Z,168.0,,,,
181,,,,542584.729619,,5735373.609333,,,,,,,,2017-12-30T22:50:00Z,155.0,,,,
79,,,,526187.137511,,5692072.821784,,,,,,,,2017-12-30T22:50:00Z,206.0,,,,
62,,,,516807.917788,,5705870.741982,,,,,,,,2017-12-30T22:50:00Z,184.0,,,,
522,,,,612969.079464,,5740500.375136,,,,,,,,2017-11-30T10:00:00Z,,,0.202,,
519,,,,612978.447521,,5740488.680422,,,,,,,,2017-11-30T10:00:00Z,,,0.17,,
495,,,,612986.872912,,5740475.963148,,,,,,,,2017-11-30T10:00:00Z,,,0.136,,
508,,,,612995.278339,,5740464.135556,,,,,,,,2017-11-30T10:00:00Z,,,0.108,,
476,,,,613004.646522,,5740452.44089,,,,,,,,2017-11-30T10:00:00Z,,,0.092,,
480,,,,613013.072035,,5740439.723658,,,,,,,,2017-11-30T10:00:00Z,,,0.062,,
464,,,,613022.509247,,5740428.030576,,,,,,,,2017-11-30T10:00:00Z,,,0.047,,
454,,,,613030.934844,,5740415.313374,,,,,,,,2017-11-30T10:00:00Z,,,0.063,,
430,,,,613039.685194,,5740403.493607,,,,,,,,2017-11-30T10:00:00Z,,,0.278,,
385,,,,613054.59646,,5730760.039701,,,,,,,,2017-11-30T10:00:00Z,,,0.446,,
85,,,,613045.749104,,5730772.413997,,,,,,,,2017-11-30T10:00:00Z,,,0.271,,
83,,,,613037.40029,,5730784.131908,,,,,,,,2017-11-30T10:00:00Z,,,0.245,,
452,,,,613027.923847,,5730796.825914,,,,,,,,2017-11-30T10:00:00Z,,,0.248,,
531,,,,613019.575113,,5730808.543853,,,,,,,,2017-11-30T10:00:00Z,,,0.264,,
545,,,,613010.190272,,5730820.238578,,,,,,,,2017-11-30T10:00:00Z,,,0.279,,
539,,,,613001.750103,,5730832.955861,,,,,,,,2017-11-30T10:00:00Z,,,0.258,,
491,,,,612993.401485,,5730844.673843,,,,,,,,2017-11-30T10:00:00Z,,,0.26,,
497,,,,612983.925261,,5730857.36793,,,,,,,,2017-11-30T10:00:00Z,,,0.254,,
511,,,,612975.576723,,5730869.085941,,,,,,,,2017-11-30T10:00:00Z,,,0.242,,
472,,,,612967.134225,,5730881.914487,,,,,,,,2017-11-30T10:00:00Z,,,0.274,,
465,,,,612957.749636,,5730893.609307,,,,,,,,2017-11-30T10:00:00Z,,,0.206,,
555,,,,612949.309714,,5730906.326675,,,,,,,,2017-11-30T10:00:00Z,,,0.229,,
382,,,,612939.925209,,5730918.021527,,,,,,,,2017-11-30T10:00:00Z,,,0.202,,
376,,,,612931.576868,,5730929.739609,,,,,,,,2017-11-30T10:00:00Z,,,0.177,,
73,,,,612913.752689,,5730954.15192,,,,,,,,2017-11-30T10:00:00Z,,,0.081,,
66,,,,612905.312972,,5730966.86936,,,,,,,,2017-11-30T10:00:00Z,,,0.031,,
69,,,,612895.928677,,5730978.564293,,,,,,,,2017-11-30T10:00:00Z,,,0.012,,
72,,,,612887.580532,,5730990.282446,,,,,,,,2017-11-30T10:00:00Z,,,0.057,,
27,,,,612879.140939,,5731002.999929,,,,,,,,2017-11-30T10:00:00Z,,,0.081,,
421,,,,612229.200789,,5738687.44143,,,,,,,,2017-11-30T10:00:00Z,,,0.467,,
384,,,,612923.137068,,5730942.45702,,,,,,,,2017-11-30T10:00:00Z,,,0.048,,
477,,,,614054.563017,,5746385.947008,,,,,,,,2017-11-30T10:00:00Z,,,0.67,,
322,,,,612864.250166,,5740647.002917,,,,,,,,2017-11-30T10:00:00Z,,,0.015,,
311,,,,612872.677517,,5740634.174248,,,,,,,,2017-11-30T10:00:00Z,,,0.021,,
303,,,,612881.079928,,5740622.457678,,,,,,,,2017-11-30T10:00:00Z,,,0.024,,
345,,,,612890.47005,,5740609.761927,,,,,,,,2017-11-30T10:00:00Z,,,0.056,,
348,,,,612898.872541,,5740598.045386,,,,,,,,2017-11-30T10:00:00Z,,,0.141,,
354,,,,612908.262751,,5740585.349668,,,,,,,,2017-11-30T10:00:00Z,,,0.077,,
390,,,,612916.665322,,5740573.633156,,,,,,,,2017-11-30T10:00:00Z,,,0.021,,
435,,,,612925.090423,,5740560.915781,,,,,,,,2017-11-30T10:00:00Z,,,0.031,,
446,,,,612934.458271,,5740549.220987,,,,,,,,2017-11-30T10:00:00Z,,,0.046,,
442,,,,612942.86096,,5740537.504517,,,,,,,,2017-11-30T10:00:00Z,,,0.058,,
424,,,,612951.286184,,5740524.787185,,,,,,,,2017-11-30T10:00:00Z,,,0.078,,
469,,,,612960.654157,,5740513.092439,,,,,,,,2017-11-30T10:00:00Z,,,0.111,,
258,,,,592267.588101,,5746272.620602,,,,,,,,2017-11-30T10:00:00Z,,,0.406,,
536,,,,577332.855011,,5864584.144618,,,,,,,,2017-11-30T09:50:00Z,,,,216.0,
321,,,,573153.986862,,5824714.958109,,,,,,,,2017-11-30T10:00:00Z,,,,239.0,
142,,,,585819.536375,,5816113.72678,,,,,,,,2017-11-30T09:50:00Z,,,,193.0,
119,,,,569259.990992,,5760592.897371,,,,,,,,2017-11-30T09:50:00Z,,,,198.0,
151,,,,499770.915918,,5755106.396664,,,,,,,,2017-11-30T10:00:00Z,,,,231.0,
415,,,,521140.702135,,5732587.56863,,,,,,,,2017-11-30T09:50:00Z,,,,227.0,
200,,,,550476.805225,,5762198.872245,,,,,,,,2017-11-30T10:00:00Z,,,,209.0,
117,,,,747112.760101,,5933055.370355,,,,,,,,2017-11-30T09:50:00Z,,,,24.0,
399,,,,729232.26961,,5928667.617739,,,,,,,,2017-11-30T09:50:00Z,,,,1.0,
252,,,,729495.294804,,5932985.614934,,,,,,,,2017-11-30T09:50:00Z,,,,9.0,
407,,,,728627.341124,,5937960.033728,,,,,,,,2017-11-30T09:50:00Z,,,,68.0,
2,,,,743772.544318,,5935683.051801,,,,,,,,2017-11-30T09:50:00Z,,,,10.0,
537,,,,740446.114961,,5941794.906494,,,,,,,,2017-11-30T09:50:00Z,,,,74.0,
484,,,,709468.383028,,5943102.893473,,,,,,,,2017-11-30T09:50:00Z,,,,159.0,
447,,,,722736.89789,,5946464.71306,,,,,,,,2017-11-30T09:50:00Z,,,,154.0,
455,,,,732910.547324,,5947044.828293,,,,,,,,2017-11-30T09:50:00Z,,,,157.0,
121,,,,671833.018494,,5914784.678793,,,,,,,,2017-11-30T09:50:00Z,,,,1.0,
543,,,,679204.019579,,5919291.674522,,,,,,,,2017-11-30T09:50:00Z,,,,8.0,
95,,,,670679.510175,,5929298.158746,,,,,,,,2017-11-30T09:50:00Z,,,,136.0,
162,,,,671843.38573,,5925230.206729,,,,,,,,2017-11-30T09:50:00Z,,,,60.0,
308,,,,672860.98395,,5925495.337207,,,,,,,,2017-11-30T09:50:00Z,,,,93.0,
24,,,,674081.551409,,5929406.190141,,,,,,,,2017-11-30T09:50:00Z,,,,143.0,
42,,,,675181.287296,,5922714.709123,,,,,,,,2017-11-30T09:50:00Z,,,,41.0,
336,,,,664197.047545,,5934176.074746,,,,,,,,2017-11-30T09:50:00Z,,,,162.0,
55,,,,676213.80577,,5935841.82793,,,,,,,,2017-11-30T09:50:00Z,,,,161.0,
551,,,,640013.257003,,5910075.18959,,,,,,,,2017-11-30T09:50:00Z,,,,73.0,
379,,,,632487.215764,,5910020.899452,,,,,,,,2017-11-30T09:50:00Z,,,,163.0,
487,,,,496708.794769,,5963121.522201,,,,,,,,2017-11-30T09:50:00Z,,,,262.0,
290,,,,610710.616851,,5904280.789389,,,,,,,,2017-11-30T09:50:00Z,,,,197.0,
13,,,,551697.869815,,6141462.204302,,,,,,,,2017-11-30T09:50:00Z,,,,224.0,
437,,,,579110.499719,,5691582.110635,,,,,,,,2017-11-30T09:50:00Z,,,,9.0,
313,,,,552026.702428,,5689877.244714,,,,,,,,2017-11-30T09:50:00Z,,,,23.0,
479,,,,564014.587658,,5691679.138303,,,,,,,,2017-11-30T09:50:00Z,,,,11.0,
77,,,,548121.835951,,5698572.247605,,,,,,,,2017-11-30T09:50:00Z,,,,38.0,
109,,,,555857.066831,,5721177.616525,,,,,,,,2017-11-30T09:50:00Z,,,,18.0,
408,,,,566986.26297,,5717636.054271,,,,,,,,2017-11-30T09:50:00Z,,,,15.0,
185,,,,528967.395158,,5698499.023206,,,,,,,,2017-11-30T09:50:00Z,,,,189.0,
513,,,,526601.431059,,5691842.745781,,,,,,,,2017-11-30T09:50:00Z,,,,167.0,
264,,,,525656.536774,,5693475.304018,,,,,,,,2017-11-30T09:50:00Z,,,,158.0,
154,,,,521007.479126,,5694659.255283,,,,,,,,2017-11-30T09:30:00Z,,,,162.0,
400,,,,527627.821957,,5718787.045243,,,,,,,,2017-11-30T09:50:00Z,,,,213.0,
492,,,,508953.427904,,5690515.917835,,,,,,,,2017-11-30T09:30:00Z,,,,208.0,
369,,,,514460.661332,,5692042.245828,,,,,,,,2017-11-30T09:30:00Z,,,,173.0,
112,,,,503343.058604,,5693572.805199,,,,,,,,2017-11-30T09:30:00Z,,,,191.0,
74,,,,516799.91264,,5705757.192646,,,,,,,,2017-11-30T09:50:00Z,,,,208.0,
351,,,,461339.60857,,5692724.268226,,,,,,,,2017-11-30T09:30:00Z,,,,239.0,
174,,,,470268.462852,,5665664.409265,,,,,,,,2017-11-30T09:30:00Z,,,,173.0,
98,,,,479513.843302,,5688788.008948,,,,,,,,2017-11-30T09:30:00Z,,,,208.0,
11,,,,484039.216106,,5695763.096158,,,,,,,,2017-11-30T09:30:00Z,,,,249.0,
39,,,,573077.022007,,5824789.014549,,,,,,,,2017-11-30T10:00:00Z,,,,999999999.0,
140,,,,671502.169866,,5910827.656343,,,,,,,,2017-11-30T09:50:00Z,,,,999999999.0,
279,,,,672533.827605,,5918866.146068,,,,,,,,2017-11-30T09:50:00Z,,,,999999999.0,
176,,,,708909.382074,,5751262.38348,,,,,,,,2017-11-30T10:00:00Z,,,,,2249.6
507,,,,709103.533362,,5751470.183669,,,,,,,,2017-11-30T10:00:00Z,,,,,1064.48
474,,,,702969.539428,,5761495.132923,,,,,,,,2017-11-30T10:00:00Z,,,,,453.08
97,,,,633416.730866,,5720674.372878,,,,,,,,2017-11-30T09:40:00Z,,,,,0.07
475,,,,666288.867886,,5725681.356157,,,,,,,,2017-11-30T09:40:00Z,,,,,0.1
99,,,,685626.951177,,5708767.928826,,,,,,,,2017-11-30T09:40:00Z,,,,,0.17
126,,,,686621.816107,,5703051.662765,,,,,,,,2017-11-30T09:40:00Z,,,,,0.13
387,,,,684558.598341,,5703935.552472,,,,,,,,2017-11-13T11:30:00Z,,,,,16.35
166,,,,684101.515747,,5708353.968858,,,,,,,,2017-11-30T09:30:00Z,,,,,0.0
3,,,,686327.403796,,5708705.717448,,,,,,,,2017-11-30T09:30:00Z,,,,,0.2
291,,,,692668.906081,,5683786.395963,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
403,,,,691404.378528,,5689749.397756,,,,,,,,2017-11-30T09:50:00Z,,,,,1.6
287,,,,689061.33225,,5638791.854031,,,,,,,,2017-11-30T10:00:00Z,,,,,0.5
188,,,,670022.164259,,5699570.696335,,,,,,,,2017-11-30T09:00:00Z,,,,,0.54
163,,,,670055.815067,,5699690.479968,,,,,,,,2017-11-30T09:00:00Z,,,,,0.05
272,,,,596924.356201,,5727693.576083,,,,,,,,2017-11-30T10:00:00Z,,,,,1.64
44,,,,596872.087435,,5727761.881287,,,,,,,,2017-11-30T10:00:00Z,,,,,0.47
506,,,,708382.625118,,5836428.869423,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
460,,,,708372.462588,,5836433.559056,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
457,,,,708362.304833,,5836438.137517,,,,,,,,2017-11-30T09:50:00Z,,,,,0.0
71,,,,585894.447697,,5694263.77376,,,,,,,,2017-11-30T10:00:00Z,,,,,0.0
453,,,,560035.078677,,5710453.197915,,,,,,,,2017-11-30T10:00:00Z,,,,,0.0
